,CSNK1A1,CSNK1E,CSNK1D,HRR25,CSNK1A1L
23390,0.0,0.0,2.0,0.0,0.0
2353,0.0,0.0,1.0,0.0,0.0
23621,0.0,0.0,1.0,0.0,0.0
3187,0.0,0.0,1.0,0.0,0.0
328,0.0,0.0,1.0,0.0,0.0
3614,0.0,0.0,1.0,0.0,0.0
3831,0.0,0.0,1.0,0.0,0.0
387129,0.0,0.0,1.0,0.0,0.0
3921,0.0,0.0,1.0,0.0,0.0
472,0.0,0.0,1.0,0.0,0.0
4734,0.0,0.0,1.0,0.0,0.0
4773,0.0,0.0,1.0,0.0,0.0
50674,0.0,0.0,1.0,0.0,0.0
5217,0.0,0.0,1.0,0.0,0.0
55337,0.0,0.0,1.0,0.0,0.0
5537,0.0,0.0,1.0,0.0,0.0
55720,0.0,0.0,1.0,0.0,0.0
57144,0.0,0.0,1.0,0.0,0.0
57154,0.0,0.0,1.0,0.0,0.0
57381,0.0,0.0,1.0,0.0,0.0
57532,0.0,0.0,1.0,0.0,0.0
57664,0.0,0.0,1.0,0.0,0.0
5784,0.0,0.0,1.0,0.0,0.0
64375,0.0,0.0,1.0,0.0,0.0
7534,0.0,0.0,1.0,0.0,0.0
7813,0.0,0.0,1.0,0.0,0.0
7818,0.0,0.0,1.0,0.0,0.0
79155,0.0,0.0,1.0,0.0,0.0
79169,0.0,0.0,1.0,0.0,0.0
79734,0.0,0.0,2.0,0.0,0.0
79760,0.0,0.0,1.0,0.0,0.0
8209,0.0,0.0,1.0,0.0,0.0
832,0.0,0.0,1.0,0.0,1.0
84144,0.0,0.0,1.0,0.0,0.0
84232,0.0,0.0,3.0,0.0,0.0
84708,0.0,0.0,1.0,0.0,0.0
84899,0.0,0.0,1.0,0.0,0.0
84950,0.0,0.0,1.0,0.0,0.0
85358,0.0,0.0,1.0,0.0,0.0
8887,0.0,0.0,1.0,0.0,0.0
